,Obs temp,Ring width
1828,9.13,1109
1829,7.35,1047
1830,8.01,802
1831,8.92,779
1832,8.73,1175
1833,8.44,1169
1834,9.3,1165
1835,8.23,1218
1836,7.65,713
1837,7.63,913
1838,7.06,931
1839,7.98,884
1840,8.17,630
1841,8.1,744
1842,8.91,636
1843,8.68,998
1844,8.19,1140
1845,7.93,1226
1846,9.81,1161
1847,8.54,836
1848,8.37,883
1849,8.07,932
1850,8.39,792
1851,8.39,913
1852,9.22,1115
1853,8.28,1058
1854,9.2,916
1855,7.94,978
1856,8.96,1055
1857,9.72,1100
1858,8.2,1077
1859,7.84,1068
1860,6.83,1067
1861,8.08,977
1862,7.9,881
1863,8.54,946
1864,7.63,814
1865,8.25,935
1866,8.28,1015
1867,8.25,962
1868,9.31,1104
1869,8.46,942
1870,8.46,822
1871,8.13,1041
1872,8.32,1155
1873,8.33,1127
1874,8.41,1011
1875,8.63,1097
1876,8.42,1017
1877,8.08,893
1878,8.55,967
1879,6.57,746
1880,8.51,1433
1881,7.64,1019
1882,8.45,1222
1883,8.34,756
1884,8.7,820
1885,7.98,765
1886,7.92,976
1887,8.24,1099
1888,7.79,1148
1889,8.57,1090
1890,8.66,1235
1891,8.37,1172
1892,7.57,1082
1893,9.36,1181
1894,8.76,788
1895,8.17,369
1896,9.02,317
1897,8.63,509
1898,9.53,746
1899,8.92,847
1900,8.7,925
1901,8.81,877
1902,7.99,722
1903,8.28,1035
1904,8.33,1209
1905,8.65,1040
1906,8.64,981
1907,8.22,808
1908,8.83,706
1909,7.98,655
1910,8.3,976
1911,9.03,1253
1912,8.54,1231
1913,8.88,1374
1914,9.31,1235
1915,8.11,1213
1916,8.43,1168
1917,8.02,844
1918,8.71,1089
1919,7.88,1007
1920,8.83,970
1921,9.58,1046
1922,8.04,960
1923,8.22,1050
1924,8.57,1030
1925,8.43,978
1926,8.99,990
1927,8.43,1107
1928,8.56,771
1929,8.46,830
1930,8.5,812
1931,8.1,846
1932,8.67,855
1933,9.35,754
1934,9.25,1023
1935,8.51,1114
1936,8.52,1095
1937,8.43,1139
1938,9.24,1378
1939,8.93,1328
1940,8.36,891
1941,7.97,1095
1942,8.28,1077
1943,9.11,1390
1944,8.56,1017
1945,9.44,1172
1946,8.57,1032
1947,8.13,626
1948,8.79,903
1949,9.51,1182
1950,8.33,1046
1951,8.04,952
1952,8.03,960
1953,9.33,1395
1954,8.13,1072
1955,8.58,946
1956,8.28,1075
1957,9.18,1104
1958,8.44,967
1959,9.57,916
1960,8.92,823
1961,9.09,779
1962,8.09,815
1963,8.01,622
1964,8.9,585
1965,8.26,666
1966,8.67,678
1967,8.99,976
1968,8.65,767
1969,8.47,564
1970,8.74,725
1971,9.2,1042
1972,8.42,1159
1973,8.53,1018
1974,8.65,1148
1975,9.25,1412
1976,9,1694
