"","year","co2","ch4","sf6","n2o"
"1",1959,0.96,NA,NA,NA
"2",1960,0.71,NA,NA,NA
"3",1961,0.78,NA,NA,NA
"4",1962,0.56,NA,NA,NA
"5",1963,0.57,NA,NA,NA
"6",1964,0.49,NA,NA,NA
"7",1965,1.1,NA,NA,NA
"8",1966,1.1,NA,NA,NA
"9",1967,0.61,NA,NA,NA
"10",1968,0.99,NA,NA,NA
"11",1969,1.32,NA,NA,NA
"12",1970,1.13,NA,NA,NA
"13",1971,0.73,NA,NA,NA
"14",1972,1.47,NA,NA,NA
"15",1973,1.46,NA,NA,NA
"16",1974,0.68,NA,NA,NA
"17",1975,1.23,NA,NA,NA
"18",1976,0.97,NA,NA,NA
"19",1977,1.92,NA,NA,NA
"20",1978,1.29,NA,NA,NA
"21",1979,2.14,NA,NA,NA
"22",1980,1.71,NA,NA,NA
"23",1981,1.16,NA,NA,NA
"24",1982,0.98,NA,NA,NA
"25",1983,1.85,NA,NA,NA
"26",1984,1.23,12.81,NA,NA
"27",1985,1.65,12.34,NA,NA
"28",1986,1,12.91,NA,NA
"29",1987,2.66,11.41,NA,NA
"30",1988,2.17,10.77,NA,NA
"31",1989,1.47,11.08,NA,NA
"32",1990,1.2,8.76,NA,NA
"33",1991,0.76,14.06,NA,NA
"34",1992,0.72,2.35,NA,NA
"35",1993,1.23,3.83,NA,NA
"36",1994,1.67,7.22,NA,NA
"37",1995,1.98,3.96,NA,NA
"38",1996,1.06,2.47,NA,NA
"39",1997,1.98,6.29,NA,NA
"40",1998,2.83,12.13,0.2,NA
"41",1999,1.35,2.43,0.17,NA
"42",2000,1.24,-1.52,0.2,NA
"43",2001,1.84,-0.7,0.19,0.71
"44",2002,2.37,3.31,0.22,0.5
"45",2003,2.29,4.74,0.25,0.8
"46",2004,1.55,-4.89,0.21,0.53
"47",2005,2.46,0.38,0.23,0.87
"48",2006,1.78,1.97,0.25,0.69
"49",2007,2.13,7.79,0.28,0.9
"50",2008,1.77,6.51,0.29,0.91
"51",2009,1.58,4.72,0.29,0.76
"52",2010,2.41,5.2,0.27,1.08
"53",2011,1.7,4.82,0.28,0.9
"54",2012,2.41,5.02,0.31,0.81
"55",2013,2.43,5.69,0.32,1.01
"56",2014,2.05,12.76,0.34,1.25
"57",2015,2.96,10.03,0.32,0.9
"58",2016,2.84,7.08,0.34,0.66
"59",2017,2.14,6.83,0.35,1.02
"60",2018,2.4,8.72,0.35,1.17
"61",2019,2.53,9.74,0.33,0.9
"62",2020,2.59,14.67,NA,NA
