X1,Food Stage,Emission,Food compartment,emission,Area
1,Consumption,0.45684523894764195,Energy,3.80765976856729,Globe
2,Packaging,0.956518759773206,NA,NA,Globe
3,Processing,0.496434487200252,NA,NA,Globe
4,Production,0.7294194051995541,NA,NA,Globe
5,Retail,0.313027633723708,NA,NA,Globe
6,Transport,0.834432053622416,NA,NA,Globe
7,Packaging,0.0209821901005144,NA,NA,Globe
8,Processing,5.76842135359863e-4,Industry,0.689934815646801,Globe
9,Production,0.286377325211292,NA,NA,Globe
10,Retail,0.40298064830015,NA,NA,Globe
11,Production,6.04418540457246,Landbased,11.7072081676725,Globe
12,LULUC,5.6630227631,NA,NA,Globe
13,End of Life,1.6164877583231199,Waste,1.7409619343542,Globe
14,Processing,0.124474176031075,NA,NA,Globe
15,Consumption,0.127937184685615,Energy,1.61975020120792,Industrialized
16,Packaging,0.27655218031552603,NA,NA,Industrialized
17,Processing,0.22519533851568901,NA,NA,Industrialized
18,Production,0.286551361582089,NA,NA,Industrialized
19,Retail,0.211656107471775,NA,NA,Industrialized
20,Transport,0.48139060707284703,NA,NA,Industrialized
21,Packaging,0.010467421564377301,NA,NA,Industrialized
22,Processing,2.35675203726426e-4,Industry,0.5144863828710861,Industrialized
23,Production,0.128630286708185,NA,NA,Industrialized
24,Retail,0.385620420959175,NA,NA,Industrialized
25,Production,1.62166583776739,Landbased,2.30296449516739,Industrialized
26,LULUC,0.6812986574000001,NA,NA,Industrialized
27,End of Life,0.458636408717571,Waste,0.495788880665608,Industrialized
28,Processing,0.0371524719480365,NA,NA,Industrialized
29,Consumption,0.328908054262027,Energy,2.18790956735937,Developing
30,Packaging,0.67996657945768,NA,NA,Developing
31,Processing,0.271239148684564,NA,NA,Developing
32,Production,0.442868043617464,NA,NA,Developing
33,Retail,0.101371526251933,NA,NA,Developing
34,Transport,0.35304144654956904,NA,NA,Developing
35,Packaging,0.010514768536137,NA,NA,Developing
36,Processing,3.41166931633437e-4,Industry,0.17544843277571498,Developing
37,Production,0.157747038503107,NA,NA,Developing
38,Retail,0.0173602273409749,NA,NA,Developing
39,Production,4.42251956680507,Landbased,9.40424367250507,Developing
40,LULUC,4.981724105700001,NA,NA,Developing
41,End of Life,1.15785134960555,Waste,1.2451730536885899,Developing
42,Processing,0.08732170408303849,NA,NA,Developing
