"","Country","Year","Population","Coal_consum","Electricity_generation","CO2_emmision"
"24","Algeria",2018,42200000,5e+05,7.67e+10,156000
"48","Argentina",2018,44400000,1180000,1.47e+11,196000
"73","Australia",2018,24900000,44100000,2.63e+11,421000
"98","Austria",2018,8890000,2860000,6.8e+10,68900
"123","Azerbaijan",2018,9950000,1230,2.52e+10,36800
"148","Bangladesh",2018,1.61e+08,2440000,8.11e+10,85800
"173","Belarus",2018,9450000,884000,3.89e+10,65500
"198","Belgium",2018,11500000,3110000,7.49e+10,99700
"223","Brazil",2018,2.09e+08,16600000,6.01e+11,458000
"248","Bulgaria",2018,7050000,5460000,4.68e+10,44500
"273","Canada",2018,37100000,15500000,6.52e+11,569000
"298","Chile",2018,18700000,7440000,8.23e+10,85900
"323","China",2018,1.43e+09,1.91e+09,7.17e+12,10100000
"348","Colombia",2018,49700000,3780000,7.83e+10,97300
"373","Croatia",2018,4160000,365000,1.36e+10,18600
"398","Cyprus",2018,1190000,13600,5.05e+09,7500
"423","Czech Republic",2018,10700000,15500000,8.8e+10,106000
"448","Denmark",2018,5750000,1600000,3.04e+10,34800
"473","Ecuador",2018,17100000,0,2.97e+10,41900
"498","Egypt",2018,98400000,2150000,1.99e+11,239000
"523","Estonia",2018,1320000,4760000,1.23e+10,19600
"548","Finland",2018,5520000,4190000,7.02e+10,47000
"573","France",2018,6.5e+07,8380000,5.74e+11,338000
"598","Germany",2018,83100000,69400000,6.43e+11,760000
"623","Greece",2018,10500000,4570000,5.33e+10,73900
"648","Hungary",2018,9710000,2120000,3.2e+10,49900
"673","Iceland",2018,337000,115000,1.98e+10,3630
"698","India",2018,1.35e+09,4.43e+08,1.55e+12,2660000
"723","Indonesia",2018,2.68e+08,67800000,2.67e+11,615000
"748","Iran",2018,81800000,1320000,3.14e+11,721000
"773","Iraq",2018,38400000,0,9.99e+10,204000
"798","Ireland",2018,4820000,1410000,3.11e+10,39000
"823","Israel",2018,8380000,4710000,6.9e+10,64300
"848","Italy",2018,60600000,8820000,2.9e+11,338000
"873","Japan",2018,1.27e+08,1.19e+08,1.06e+12,1160000
"898","Kazakhstan",2018,18300000,40700000,1.07e+11,322000
"923","Kuwait",2018,4140000,192000,7.42e+10,98100
"948","Latvia",2018,1930000,48000,6.72e+09,7200
"973","Lithuania",2018,2800000,211000,3.28e+09,13600
"998","Luxembourg",2018,604000,42100,2.2e+09,9590
"1023","Malaysia",2018,31500000,22100000,1.67e+11,255000
"1048","Mexico",2018,1.26e+08,13500000,3.49e+11,478000
"1073","Morocco",2018,3.6e+07,5150000,3.44e+10,66400
"1098","Netherlands",2018,17100000,8210000,1.14e+11,162000
"1123","New Zealand",2018,4740000,1300000,4.42e+10,34800
"1148","North Macedonia",2018,2080000,865000,5.61e+09,7270
"1173","Norway",2018,5340000,799000,1.47e+11,44400
"1198","Oman",2018,4830000,74500,3.77e+10,67300
"1223","Pakistan",2018,2.12e+08,11800000,1.36e+11,224000
"1248","Peru",2018,3.2e+07,771000,5.49e+10,55600
"1273","Philippines",2018,1.07e+08,16400000,9.98e+10,135000
"1298","Poland",2018,37900000,49800000,1.7e+11,344000
"1323","Portugal",2018,10300000,2720000,5.96e+10,51000
"1348","Qatar",2018,2780000,0,4.79e+10,106000
"1373","Romania",2018,19500000,5130000,6.48e+10,74100
"1398","Russia",2018,1.46e+08,86700000,1.11e+12,1710000
"1423","Saudi Arabia",2018,33700000,102000,3.59e+11,622000
"1448","Singapore",2018,5760000,477000,5.29e+10,40900
"1473","Slovak Republic",2018,5450000,3320000,2.69e+10,36100
"1498","Slovenia",2018,2080000,1100000,1.63e+10,14400
"1523","South Africa",2018,57800000,89800000,2.56e+11,468000
"1548","South Korea",2018,51200000,86700000,5.93e+11,659000
"1573","Spain",2018,46700000,11100000,2.74e+11,268000
"1598","Sri Lanka",2018,21200000,1370000,1.57e+10,23400
"1623","Sweden",2018,9970000,1980000,1.63e+11,41100
"1648","Switzerland",2018,8530000,102000,6.94e+10,36900
"1673","Thailand",2018,69400000,19100000,1.78e+11,288000
"1698","Trinidad and Tobago",2018,1390000,0,1.06e+10,43500
"1723","Turkey",2018,82300000,40900000,3.05e+11,429000
"1748","Turkmenistan",2018,5850000,0,2.42e+10,80000
"1773","Ukraine",2018,44200000,27600000,1.6e+11,225000
"1798","United Arab Emirates",2018,9630000,2410000,1.36e+11,206000
"1823","United Kingdom",2018,67100000,7580000,3.33e+11,379000
"1848","United States",2018,3.27e+08,3.17e+08,4.46e+12,5420000
"1873","Uzbekistan",2018,32500000,2030000,6.29e+10,91300
"1898","Venezuela",2018,28900000,115000,1.05e+11,139000
"1923","Vietnam",2018,95500000,3.8e+07,2.09e+11,207000
