Population,Coal_consum,Electricity_generation,CO2_emmision
42200000,5.00E+05,7.67E+10,156000
44400000,1180000,1.47E+11,196000
24900000,44100000,2.63E+11,421000
8890000,2860000,6.80E+10,68900
9950000,1230,2.52E+10,36800
1.61E+08,2440000,8.11E+10,85800
9450000,884000,3.89E+10,65500
11500000,3110000,7.49E+10,99700
2.09E+08,16600000,6.01E+11,458000
7050000,5460000,4.68E+10,44500
37100000,15500000,6.52E+11,569000
18700000,7440000,8.23E+10,85900
1.43E+09,1.91E+09,7.17E+12,10100000
49700000,3780000,7.83E+10,97300
4160000,365000,1.36E+10,18600
1190000,13600,5.05E+09,7500
10700000,15500000,8.80E+10,106000
5750000,1600000,3.04E+10,34800
17100000,0,2.97E+10,41900
98400000,2150000,1.99E+11,239000
1320000,4760000,1.23E+10,19600
5520000,4190000,7.02E+10,47000
6.50E+07,8380000,5.74E+11,338000
83100000,69400000,6.43E+11,760000
10500000,4570000,5.33E+10,73900
9710000,2120000,3.20E+10,49900
337000,115000,1.98E+10,3630
1.35E+09,4.43E+08,1.55E+12,2660000
2.68E+08,67800000,2.67E+11,615000
81800000,1320000,3.14E+11,721000
38400000,0,9.99E+10,204000
4820000,1410000,3.11E+10,39000
8380000,4710000,6.90E+10,64300
60600000,8820000,2.90E+11,338000
1.27E+08,1.19E+08,1.06E+12,1160000
18300000,40700000,1.07E+11,322000
4140000,192000,7.42E+10,98100
1930000,48000,6.72E+09,7200
2800000,211000,3.28E+09,13600
604000,42100,2.20E+09,9590
31500000,22100000,1.67E+11,255000
1.26E+08,13500000,3.49E+11,478000
3.60E+07,5150000,3.44E+10,66400
17100000,8210000,1.14E+11,162000
4740000,1300000,4.42E+10,34800
2080000,865000,5.61E+09,7270
5340000,799000,1.47E+11,44400
4830000,74500,3.77E+10,67300
2.12E+08,11800000,1.36E+11,224000
3.20E+07,771000,5.49E+10,55600
1.07E+08,16400000,9.98E+10,135000
37900000,49800000,1.70E+11,344000
10300000,2720000,5.96E+10,51000
2780000,0,4.79E+10,106000
19500000,5130000,6.48E+10,74100
1.46E+08,86700000,1.11E+12,1710000
33700000,102000,3.59E+11,622000
5760000,477000,5.29E+10,40900
5450000,3320000,2.69E+10,36100
2080000,1100000,1.63E+10,14400
57800000,89800000,2.56E+11,468000
51200000,86700000,5.93E+11,659000
46700000,11100000,2.74E+11,268000
21200000,1370000,1.57E+10,23400
9970000,1980000,1.63E+11,41100
8530000,102000,6.94E+10,36900
69400000,19100000,1.78E+11,288000
1390000,0,1.06E+10,43500
82300000,40900000,3.05E+11,429000
5850000,0,2.42E+10,80000
44200000,27600000,1.60E+11,225000
9630000,2410000,1.36E+11,206000
67100000,7580000,3.33E+11,379000
3.27E+08,3.17E+08,4.46E+12,5420000
32500000,2030000,6.29E+10,91300
28900000,115000,1.05E+11,139000
95500000,3.80E+07,2.09E+11,207000
