Year,GTemp,NTemp,STemp
1979,0.12,0.05,0.19
1980,0.28,0.18,0.36
1981,0.24,0.16,0.31
1982,0.24,0.2,0.29
1983,0.25,0.14,0.34
1984,0.28,0.15,0.4
1985,0.19,0.05,0.31
1986,0.17,0.04,0.29
1987,0.22,0.11,0.32
1988,0.39,0.3,0.47
1989,0.27,0.2,0.35
1990,0.28,0.23,0.34
1991,0.37,0.38,0.37
1992,0.33,0.29,0.37
1993,0.23,0.13,0.32
1994,0.24,0.15,0.33
1995,0.32,0.33,0.33
1996,0.34,0.37,0.32
1997,0.31,0.27,0.35
1998,0.51,0.5,0.52
1999,0.49,0.48,0.5
2000,0.31,0.27,0.34
2001,0.35,0.36,0.36
2002,0.47,0.46,0.49
2003,0.49,0.48,0.51
2004,0.52,0.58,0.48
2005,0.49,0.57,0.43
2006,0.5,0.59,0.44
2007,0.52,0.61,0.46
2008,0.39,0.45,0.35
2009,0.43,0.47,0.4
2010,0.58,0.62,0.56
2011,0.52,0.58,0.48
2012,0.44,0.49,0.41
2013,0.52,0.57,0.49
2014,0.55,0.63,0.49
2015,0.64,0.77,0.54
2016,0.8,0.97,0.67
2017,0.77,0.9,0.68
2018,0.7,0.86,0.58
2019,0.7,0.82,0.61
2020,0.78,0.97,0.65
2021,0.72,0.96,0.54
