"","year","Total","EDGAR_total","shareExcLULUCF","shareIncLULUCF","CountryGroup"
"1","1990",37169664.4387082,33047478.9114095,0.282627288666091,0.435725896519412,"Global"
"2","1991",37272843.1504068,33150764.084911,0.282463995763228,0.435491448844609,"Global"
"3","1992",37241156.9677143,33119072.5338146,0.282745312692427,0.43641671366833,"Global"
"4","1993",37321767.7769613,33199679.7792615,0.28182028461103,0.435559423830982,"Global"
"5","1994",37622073.8027994,33499977.0820997,0.282835369476702,0.435583072968656,"Global"
"6","1995",38374631.7611724,34252526.3491727,0.284295122848243,0.434392287544159,"Global"
"7","1996",38434464.8514863,34817310.5550862,0.280282046624868,0.421274973826695,"Global"
"8","1997",39607987.0017281,35063642.5834281,0.280058273090321,0.434412739453795,"Global"
"9","1998",38974783.1629626,34980791.7478626,0.280200646772711,0.427252464647373,"Global"
"10","1999",38829899.5495986,35191725.3087986,0.280844110420939,0.422182827954213,"Global"
"11","2000",39570878.410385,36105025.603985,0.27369625298386,0.410265576534092,"Global"
"12","2001",40381116.5640362,36442019.1648362,0.273291340986318,0.392480989374679,"Global"
"13","2002",41850652.4922153,36979093.4343153,0.272452651046605,0.403991498649257,"Global"
"14","2003",43036086.9256848,38501833.6200848,0.268029510316866,0.390803994076772,"Global"
"15","2004",44965618.2253776,40120636.0525776,0.267311039738901,0.38996551051319,"Global"
"16","2005",45995328.6535909,41397988.5222909,0.265318541871659,0.381379959029478,"Global"
"17","2006",46547128.0910407,42726783.1541407,0.262046350085138,0.378070782590537,"Global"
"18","2007",47477315.7137878,44140834.7906878,0.258954815474066,0.365340955987462,"Global"
"19","2008",47746616.9818608,44441453.2647608,0.259551072767803,0.36487543634866,"Global"
"20","2009",47664047.2753153,44049571.1226152,0.261747313927508,0.371864028430557,"Global"
"21","2010",49466068.3332233,46192311.1474233,0.253707198032114,0.355198582850367,"Global"
"22","2011",50834613.4818219,47503286.2642219,0.250493605016104,0.336498680666743,"Global"
"23","2012",51526119.9566314,48133669.9865314,0.248291194724598,0.334287964951233,"Global"
"24","2013",52199709.2799947,48901430.8763947,0.247122671928034,0.330655049423687,"Global"
"25","2014",52899949.5959096,49400715.9801096,0.246447544038523,0.33183224619178,"Global"
"26","2015",53258472.0165784,49437975.1522783,0.247269411582444,0.336542727347717,"Global"
"27","1990",20595672.5803948,21048229.1700961,0.192391256897246,0.234713525043994,"Industrialised"
"28","1991",20374818.297706,20827369.5159103,0.192653330971302,0.235485084696481,"Industrialised"
"29","1992",19965048.4545841,20417594.3040844,0.192282004256449,0.236428039442113,"Industrialised"
"30","1993",19588625.6902112,20041167.9763115,0.192874964937193,0.23792916264978,"Industrialised"
"31","1994",19376925.4071628,19829458.9702631,0.194499670274761,0.240119598407671,"Industrialised"
"32","1995",19443544.5973001,19896069.4694004,0.196732603749216,0.242327756907265,"Industrialised"
"33","1996",19574888.6891923,20159865.9679922,0.195450102103759,0.235218181934493,"Industrialised"
"34","1997",19511593.6018124,20193748.9021123,0.195439591260319,0.231315099865704,"Industrialised"
"35","1998",19588371.786222,20086816.444822,0.194140840911464,0.237561615019232,"Industrialised"
"36","1999",19581600.9332286,20179627.7889286,0.194275003366489,0.233649136356606,"Industrialised"
"37","2000",20010996.5471363,20660192.6911363,0.193392503061237,0.229875794662741,"Industrialised"
"38","2001",20083465.4321612,20606848.8230612,0.193977307124601,0.237823922368122,"Industrialised"
"39","2002",20284118.9509265,20650191.2396265,0.194525323377061,0.244362693093953,"Industrialised"
"40","2003",20737207.3421563,21033091.6209563,0.193355438989022,0.244916858271534,"Industrialised"
"41","2004",20871522.4199318,21318785.9435318,0.194666653373896,0.240001114343156,"Industrialised"
"42","2005",20954161.7719549,21396459.3227549,0.195535620834027,0.240955094060718,"Industrialised"
"43","2006",20605422.1386639,21567081.1779639,0.196308123180794,0.251243503884343,"Industrialised"
"44","2007",20937399.0356008,21843568.1767008,0.196593084779128,0.252901061260633,"Industrialised"
"45","2008",20682287.6668177,21511716.9220177,0.198341595732446,0.258536261838989,"Industrialised"
"46","2009",19273377.8548534,20295593.6617534,0.203689962985605,0.260522023131976,"Industrialised"
"47","2010",20119716.3007158,21082334.0950159,0.199156340669057,0.25585464934924,"Industrialised"
"48","2011",20467770.6663235,21135662.7157235,0.199206800924261,0.239203660356084,"Industrialised"
"49","2012",20421704.8661206,21010707.6483206,0.198407232783225,0.241651163625797,"Industrialised"
"50","2013",20331982.7820145,20980310.8204145,0.199489313148881,0.240596191751735,"Industrialised"
"51","2014",20183991.9010475,20832420.2843475,0.201212312661384,0.24271526677997,"Industrialised"
"52","2015",20031724.4170645,20706320.9208645,0.202138520240308,0.242956803250476,"Industrialised"
"53","1990",16573991.8583134,11999249.7413134,0.440912907935386,0.685513939310068,"Developing"
"54","1991",16898024.8527008,12323394.5690008,0.434250087786624,0.676649416324554,"Developing"
"55","1992",17276108.5131302,12701478.2297302,0.428164853445386,0.667532625464083,"Developing"
"56","1993",17733142.0867501,13158511.8029501,0.417289106540455,0.653868463052511,"Developing"
"57","1994",18245148.3956366,13670518.1118366,0.41096870784796,0.643171473142966,"Developing"
"58","1995",18931087.1638723,14356456.8797723,0.405644699383702,0.631655933032234,"Developing"
"59","1996",18859576.162294,14657444.587094,0.396959999673762,0.614388592065878,"Developing"
"60","1997",20096393.3999157,14869893.6813158,0.394972908656942,0.631600290785609,"Developing"
"61","1998",19386411.3767407,14893975.3030407,0.396265531294104,0.618919442859669,"Developing"
"62","1999",19248298.61637,15012097.51987,0.397212416453222,0.613981156986421,"Developing"
"63","2000",19559881.8632487,15444832.9128487,0.381116705933014,0.594815735241784,"Developing"
"64","2001",20297651.131875,15835170.341775,0.37650540626377,0.545506077789366,"Developing"
"65","2002",21566533.5412888,16328902.1946888,0.371002706646334,0.554128268366055,"Developing"
"66","2003",22298879.5835284,17468741.9991284,0.357940196731878,0.526474119224281,"Developing"
"67","2004",24094095.8054458,18801850.1090458,0.349680067995843,0.519872242939602,"Developing"
"68","2005",25041166.881636,20001529.199536,0.339968205730327,0.498885878432867,"Developing"
"69","2006",25941705.9523768,21159701.9761768,0.329050208539175,0.478809323889115,"Developing"
"70","2007",26539916.678187,22297266.613987,0.320047627415303,0.454045037916682,"Developing"
"71","2008",27064329.3150432,22929736.3427432,0.316975236885854,0.446138761659977,"Developing"
"72","2009",28390669.4204618,23753977.4608618,0.311351991954003,0.447450007311704,"Developing"
"73","2010",29346352.0325075,25109977.0524075,0.299508092142738,0.423308300747357,"Developing"
"74","2011",30366842.8154985,26367623.5484984,0.291603892830202,0.402077185972454,"Developing"
"75","2012",31104415.0905108,27122962.3382108,0.286933630887022,0.395108958077275,"Developing"
"76","2013",31867726.4979802,27921120.0559802,0.282915028058565,0.388113655504986,"Developing"
"77","2014",32715957.6948622,28568295.6957621,0.279433738305899,0.38681264467103,"Developing"
"78","2015",33226747.5995139,28731654.2314139,0.279794330337494,0.392963760890576,"Developing"
